英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
trait,"特性,特色",名詞,Honesty is a desirable trait.,正直さは望ましい特性だ。,"He has many good traits, including kindness and generosity.",彼には親切さや寛大さなど、多くの良い特性がある。,The ability to learn quickly is a key trait for this job.,素早く学ぶ能力はこの仕事にとって重要な特性だ。,The book describes the main traits of the different personality types.,その本はさまざまな性格タイプの主な特性を説明している。,,0,0
look up to,"を尊敬する,を敬う",熟語,I have always looked up to my older brother.,私はいつも兄を尊敬してきた。,She is a role model that many young girls look up to.,彼女は多くの若い女の子が尊敬するロールモデルだ。,He is a great leader that everyone looks up to.,彼は誰もが尊敬する偉大なリーダーだ。,It is important to have someone to look up to.,尊敬できる人がいることは重要だ。,,0,0
immigration,"移住,入国管理",名詞,The government has tightened its immigration laws.,政府は移民法を厳格化した。,He works for the immigration department.,彼は入国管理局で働いている。,The country has a high rate of immigration.,その国は移民率が高い。,She is an immigration lawyer.,彼女は移民弁護士だ。,,0,0
subject,"教科,主題",名詞,What is your favorite subject in school?,学校で一番好きな教科は何ですか？,The subject of the book is the history of the city.,その本の主題は市の歴史だ。,The experiment was conducted on human subjects.,その実験は人間の被験者に対して行われた。,The new policy is subject to approval by the committee.,新しい政策は委員会の承認を条件とする。,,0,0
description,"説明書,記述",名詞,The police have a description of the suspect.,警察は容疑者の人相書きを持っている。,The book provides a detailed description of the local area.,その本はその地域の詳細な説明を提供している。,Her description of the event was very vivid.,彼女のその出来事の説明は非常に生き生きとしていた。,The job description is available online.,職務内容はオンラインで入手できる。,,0,0
classical,"古典の,古代の",形容詞,She loves classical music.,彼女はクラシック音楽が大好きだ。,The book is a classical example of a bildungsroman.,その本は教養小説の古典的な例だ。,He is a student of classical literature.,彼は古典文学の学生だ。,The building has a classical design.,その建物は古典的なデザインだ。,,0,0
live on,"生き続ける,存続する",熟語,He lives on a small pension.,彼は少ない年金で暮らしている。,The memory of her will live on forever.,彼女の記憶は永遠に生き続けるだろう。,The company is struggling to live on.,その会社は存続のために奮闘している。,They live on a diet of fish and rice.,彼らは魚と米を主食としている。,,0,0
assess,"評価する,査定する",動詞,The insurance company will assess the damage to your car.,保険会社があなたの車の損害を査定する。,It is difficult to assess the impact of the new policy.,新しい政策の影響を評価するのは難しい。,The teacher will assess the students' progress.,先生は生徒の進捗状況を評価する。,"The property was assessed at a value of $500,000.",その不動産は50万ドルの価値があると査定された。,,0,0
whole,"全部の,すべての",形容詞,I ate the whole pizza by myself.,私は一人でピザを全部食べた。,The whole family went on vacation together.,家族全員で一緒に休暇に出かけた。,She spent the whole day cleaning the house.,彼女は一日中家を掃除していた。,The whole world is watching the event.,全世界がそのイベントに注目している。,,0,0
persist in,"固執する,やり通す",熟語,He persisted in his efforts to find a solution.,彼は解決策を見つけるための努力を続けた。,She persisted in her belief that he was innocent.,彼女は彼が無実であるという信念に固執した。,"The company persisted in its marketing campaign, despite the lack of results.",その会社は結果が出なかったにもかかわらず、マーケティングキャンペーンを続けた。,"He persisted in asking her out, even though she had already said no.",彼女はすでに断っていたにもかかわらず、彼は彼女をデートに誘い続けた。,,0,0
chamber,"小部屋,個室",名詞,The king met with his advisors in a private chamber.,王は私室で顧問たちと会った。,The heart has four chambers.,心臓には4つの部屋がある。,The bullet was in the chamber of the gun.,弾丸は銃の薬室に入っていた。,The local chamber of commerce is a powerful organization.,地元の商工会議所は強力な組織だ。,,0,0
curiosity,"好奇心,探究心",名詞,He was filled with curiosity about the new student.,彼は新しい生徒に対して好奇心でいっぱいだった。,Her curiosity got the better of her and she opened the box.,彼女は好奇心に負けて箱を開けてしまった。,Children have a natural curiosity about the world.,子供たちは世界に対して自然な好奇心を持っている。,"Out of curiosity, I asked him where he was from.",好奇心から、私は彼にどこから来たのか尋ねた。,,0,0
hire,"雇う,採用する",動詞,The company is hiring new employees.,その会社は新しい従業員を雇っている。,I need to hire a car for the weekend.,週末に車を借りる必要がある。,She was hired as a consultant for the project.,彼女はそのプロジェクトのコンサルタントとして雇われた。,He was hired to fix the roof.,彼は屋根を修理するために雇われた。,,0,0
useless,"役に立たない,むだな",形容詞,This old computer is useless.,この古いコンピュータは役に立たない。,It is useless to complain about the weather.,天気について不平を言うのは無駄だ。,He felt useless after he lost his job.,彼は仕事を失った後、自分が役に立たないと感じた。,The information she gave me was completely useless.,彼女がくれた情報はまったく役に立たなかった。,,0,0
seldom,"めったに～しない,稀に",副詞,I seldom see him anymore.,私はもう彼にめったに会わない。,She seldom goes out at night.,彼女は夜めったに外出しない。,He seldom makes mistakes.,彼はめったに間違いを犯さない。,It seldom rains in this part of the country.,この国のこの地域ではめったに雨が降らない。,,0,0
socialize,社会化する,動詞,She enjoys socializing with her friends.,彼女は友達と付き合うのを楽しんでいる。,He is not a very sociable person.,彼はあまり社交的な人ではない。,The company organizes social events for its employees.,その会社は従業員のために懇親会を企画している。,It is important to socialize your puppy from a young age.,子犬を若い頃から社会化させることは重要だ。,,0,0
ritual,"儀式,式典",名詞,The wedding ceremony was a beautiful ritual.,結婚式は美しい儀式だった。,He has a morning ritual of drinking coffee and reading the newspaper.,彼には朝、コーヒーを飲んで新聞を読むという日課がある。,The tribe has a special ritual to celebrate the harvest.,その部族には収穫を祝う特別な儀式がある。,The coronation of a new monarch is a solemn ritual.,新しい君主の戴冠式は厳粛な儀式だ。,,0,0
injure,ケガする,動詞,He injured his leg while playing football.,彼はサッカーをしているときに足を怪我した。,She was seriously injured in the accident.,彼女は事故で重傷を負った。,The company is not responsible for any injuries that occur on its premises.,会社は敷地内で発生したいかなる怪我に対しても責任を負わない。,He has a history of back injuries.,彼には腰痛の既往歴がある。,,0,0
protect,"を守る,保護する",動詞,You should wear a helmet to protect your head.,頭を守るためにヘルメットを着用すべきだ。,The company is trying to protect its brand image.,その会社はブランドイメージを守ろうとしている。,The new law is designed to protect the environment.,新しい法律は環境を保護するように設計されている。,He is a strong advocate for animal protection.,彼は動物保護の強力な擁護者だ。,,0,0
ultimate,"究極の,最後の",形容詞,The ultimate goal of the project is to improve the quality of life for everyone.,そのプロジェクトの究極の目標は、すべての人の生活の質を向上させることだ。,This is the ultimate guide to the city.,これはその都市の究極のガイドブックだ。,He is the ultimate authority on the subject.,彼はその主題に関する最高の権威だ。,The ultimate decision rests with the president.,最終的な決定は大統領に委ねられている。,,0,0
nature,"自然,天然",名詞,I love spending time in nature.,私は自然の中で過ごすのが大好きだ。,The beauty of nature is breathtaking.,自然の美しさは息をのむほどだ。,It is human nature to make mistakes.,間違いを犯すのは人間の性だ。,She has a kind and gentle nature.,彼女は親切で穏やかな性格だ。,,0,0
plant,"植物,草木",名詞,She has a lot of plants in her house.,彼女は家にたくさんの植物を置いている。,The factory is a major employer in the area.,その工場はこの地域で主要な雇用主だ。,The company is planning to build a new power plant.,その会社は新しい発電所を建設する予定だ。,He planted a tree in the garden.,彼は庭に木を植えた。,,0,0
infant,"乳児,赤ちゃん",名詞,The infant was sleeping peacefully in his crib.,乳児はベビーベッドで安らかに眠っていた。,She is an expert in infant development.,彼女は乳児の発達の専門家だ。,The infant mortality rate has decreased in recent years.,近年、乳児死亡率は低下している。,The product is not suitable for infants.,その製品は乳児には適していない。,,0,0
encyclopedia,百科事典,名詞,I looked up the information in an encyclopedia.,私は百科事典でその情報を調べた。,The encyclopedia is a comprehensive source of information.,その百科事典は包括的な情報源だ。,She is a walking encyclopedia of knowledge.,彼女は歩く百科事典だ。,The online encyclopedia is constantly being updated.,オンライン百科事典は常に更新されている。,,0,0
nowhere,"どこにも,どこにでも",副詞,I have nowhere to go.,私には行くところがない。,The keys were nowhere to be found.,鍵はどこにも見当たらなかった。,He came out of nowhere and surprised everyone.,彼はどこからともなく現れて皆を驚かせた。,This road leads nowhere.,この道はどこにも通じていない。,,0,0
use up,"使い切る,消耗する",熟語,I have used up all my money.,私はお金をすべて使い果たした。,"Don't use up all the milk, we need some for breakfast.",牛乳を全部使い切らないで、朝食に必要だから。,The car has used up all its fuel.,車は燃料をすべて使い果たした。,She used up all her energy cleaning the house.,彼女は家を掃除するのにすべてのエネルギーを使い果たした。,,0,0
pretend,"のふりをする,に成りすます",動詞,He pretended to be asleep.,彼は眠っているふりをした。,She pretended not to see me.,彼女は私に気づかないふりをした。,Don't pretend to be someone you're not.,自分ではない誰かのふりをしないでください。,The children were pretending to be pirates.,子供たちは海賊のふりをしていた。,,0,0
recognition,"認識,認知",名詞,She received recognition for her hard work.,彼女は努力が認められた。,He has a good recognition of faces.,彼は顔を覚えるのが得意だ。,The company has gained international recognition.,その会社は国際的な評価を得た。,The new technology is still in its early stages of recognition.,新しい技術はまだ認識の初期段階にある。,,0,0
transform,"を変える,を改変する",動詞,The new policy will transform the company.,新しい政策は会社を変革するだろう。,The caterpillar transformed into a butterfly.,毛虫は蝶に変身した。,She has transformed her life since she moved to the city.,彼女は都会に引っ越してから人生を変えた。,The artist transformed the old building into a work of art.,その芸術家は古い建物を芸術作品に変えた。,,0,0
status,"状態,身分",名詞,What is the status of your project?,あなたのプロジェクトの状況はどうですか？,She has a high social status.,彼女は社会的地位が高い。,The company's financial status is not good.,その会社の財政状態は良くない。,"He is a legal resident of the country, but he does not have citizenship status.",彼はその国の合法的な居住者だが、市民権の地位はない。,,0,0
sink,"沈む,沈没する",動詞,The ship sank to the bottom of the sea.,船は海の底に沈んだ。,The sun was sinking below the horizon.,太陽は地平線の下に沈んでいた。,My heart sank when I heard the news.,その知らせを聞いて私の心は沈んだ。,Don't let your problems sink you.,問題に打ちのめされないでください。,,0,0
indication,"指示,兆候",名詞,There is no indication that he is lying.,彼が嘘をついているという兆候はない。,The dark clouds are an indication of a storm.,黒い雲は嵐の兆候だ。,He gave no indication of his intentions.,彼は自分の意図を全く示さなかった。,The early indications are that the new treatment is effective.,初期の兆候は、新しい治療法が効果的であることを示している。,,0,0
dislike,"嫌がる,嫌い",動詞,I dislike waking up early.,私は早起きが嫌いだ。,She dislikes him because he is arrogant.,彼女は彼が傲慢なので嫌っている。,He has a strong dislike of spiders.,彼はクモがひどく嫌いだ。,I took an instant dislike to him.,私は彼にすぐに嫌悪感を抱いた。,,0,0
preparation,"準備,用意",名詞,The preparation for the wedding took a long time.,結婚式の準備には長い時間がかかった。,She is in preparation for her final exams.,彼女は期末試験の準備をしている。,The food preparation was done in the morning.,食事の準備は午前中に行われた。,Good preparation is the key to success.,良い準備が成功の鍵だ。,,0,0
install,"導入する,導く",動詞,I need to install a new software on my computer.,私はコンピュータに新しいソフトウェアをインストールする必要がある。,The company is installing a new security system.,その会社は新しいセキュリティシステムを導入している。,He was installed as the new president of the company.,彼はその会社の新しい社長に就任した。,The new government was installed last week.,新しい政府は先週発足した。,,0,0
attorney,"弁護士,代理人",名詞,I need to speak to my attorney.,私は弁護士と話す必要がある。,She is a successful attorney who specializes in corporate law.,彼女は会社法を専門とする成功した弁護士だ。,The district attorney is prosecuting the case.,地方検事がその事件を起訴している。,He was appointed as the attorney for the defendant.,彼は被告人の弁護人に任命された。,,0,0
intercultural,異文化間の,形容詞,The company provides intercultural training for its employees.,その会社は従業員に異文化間トレーニングを提供している。,She is interested in intercultural communication.,彼女は異文化間コミュニケーションに興味がある。,The festival is a celebration of intercultural understanding.,その祭りは異文化理解を祝うものだ。,The book is about the challenges of intercultural marriage.,その本は異文化間結婚の課題について書かれている。,,0,0
edge,"端,縁",名詞,He was standing on the edge of the cliff.,彼は崖の端に立っていた。,She has an edge over the other candidates because of her experience.,彼女は経験があるため、他の候補者よりも有利だ。,The company is on the cutting edge of technology.,その会社は技術の最先端を行っている。,He has a sharp edge to his voice.,彼の声には鋭い響きがある。,,0,0
pioneer,"開拓者,先駆者",名詞,He was a pioneer in the field of computer science.,彼はコンピュータサイエンスの分野の先駆者だった。,The pioneers who settled the American West faced many hardships.,アメリカ西部を開拓した開拓者たちは多くの困難に直面した。,The company is a pioneer in the development of electric cars.,その会社は電気自動車の開発の先駆者だ。,She is a true pioneer in her field.,彼女は自分の分野で真の先駆者だ。,,0,0
resist,"抵抗する,反発する",動詞,I couldn't resist eating the chocolate cake.,私はチョコレートケーキを食べるのを我慢できなかった。,The army resisted the enemy's attack.,軍隊は敵の攻撃に抵抗した。,She is resistant to change.,彼女は変化に抵抗がある。,The new material is resistant to heat and cold.,新しい素材は熱と寒さに強い。,,0,0
suspect,"疑う,だと思う",動詞,I suspect that he is not telling the truth.,私は彼が真実を語っていないのではないかと疑っている。,The police suspect him of murder.,警察は彼を殺人の容疑で疑っている。,She is the prime suspect in the case.,彼女はその事件の最有力容疑者だ。,I have a suspect feeling that something is wrong.,何かがおかしいという疑念を抱いている。,,0,0
ally,"と同盟する,連合する",動詞,The two countries have allied against a common enemy.,その二つの国は共通の敵に対して同盟を結んだ。,She allied herself with the most powerful group in the company.,彼女は会社で最も強力なグループと手を組んだ。,He is a close ally of the president.,彼は大統領の親しい盟友だ。,The United States is a key ally of Japan.,アメリカは日本の重要な同盟国だ。,,0,0
folk,"人々,群衆",名詞,The local folk are very friendly.,地元の人々はとてもフレンドリーだ。,She is a singer of folk music.,彼女はフォークミュージックの歌手だ。,The book is a collection of folk tales.,その本は民話集だ。,My folks are coming to visit me next week.,来週、両親が私を訪ねてくる。,,0,0
regret,"後悔する/後悔,遺憾","動詞,名詞",I regret not studying harder in school.,学校でもっと一生懸命勉強しなかったことを後悔している。,She expressed her regret for what she had done.,彼女は自分がしたことへの後悔を表明した。,He has no regrets about his decision.,彼は自分の決断に後悔はない。,I regret to inform you that your application has been rejected.,残念ながら、あなたの申込書が不採用になったことをお知らせします。,,0,0
snap,"パチンと鳴らす,カチンと鳴らす",動詞,She snapped her fingers to get his attention.,彼女は彼の注意を引くために指を鳴らした。,The branch snapped under the weight of the snow.,枝は雪の重みでポキッと折れた。,He snapped a picture of the beautiful sunset.,彼は美しい夕日の写真を撮った。,"Don't snap at me, I'm just trying to help.",私に当たり散らさないで、ただ手伝おうとしているだけだから。,,0,0
massive,"巨大な,大規模な",形容詞,The company has a massive debt.,その会社は巨額の負債を抱えている。,The storm caused massive damage to the city.,その嵐は市に甚大な被害をもたらした。,He has a massive collection of books.,彼は膨大な数の本を所蔵している。,The new stadium is a massive structure.,新しいスタジアムは巨大な建造物だ。,,0,0
coast,"海岸,沿岸地域",名詞,We spent the day at the coast.,私たちは海岸で一日を過ごした。,The hotel is located on the coast.,そのホテルは海岸沿いにある。,"The coast is clear, you can go now.",誰もいない、今なら行けるよ。,The car coasted down the hill.,車は坂道を惰性で下った。,,0,0
significant,"重要な,大切な",形容詞,The discovery of penicillin was a significant event in the history of medicine.,ペニシリンの発見は医学の歴史において重要な出来事だった。,There has been a significant increase in the number of students.,生徒数が大幅に増加した。,She played a significant role in the success of the project.,彼女はそのプロジェクトの成功に重要な役割を果たした。,The difference between the two products is not significant.,その二つの製品の差は重要ではない。,,0,0
sacrifice,"犠牲,捧げ物",名詞,He made the ultimate sacrifice for his country.,彼は国のために究極の犠牲を払った。,She sacrificed her career to raise her children.,彼女は子供を育てるためにキャリアを犠牲にした。,The ancient Aztecs practiced human sacrifice.,古代アステカ人は人身御供を行っていた。,The company is not willing to sacrifice quality for price.,その会社は価格のために品質を犠牲にするつもりはない。,,0,0
trigger,"引き金,誘因",名詞,The smell of smoke triggered his asthma attack.,煙の匂いが彼の喘息発作を引き起こした。,The assassination of the archduke was the trigger for World War I.,大公の暗殺が第一次世界大戦の引き金となった。,He has a short trigger and gets angry easily.,彼は短気で怒りっぽい。,The gun has a hair trigger.,その銃は引き金が軽い。,,0,0
delight,"喜び,歓喜",名詞,She was filled with delight when she saw the present.,彼女はプレゼントを見て喜びに満ちた。,It was a delight to see her again.,彼女にまた会えて嬉しかった。,The children were squealing with delight.,子供たちは歓声を上げて喜んでいた。,The garden is a delight to the eyes.,その庭は目を楽しませてくれる。,,0,0
disaster,"災害,災難",名詞,The earthquake was a major disaster.,その地震は大災害だった。,The party was a complete disaster.,そのパーティーは完全な失敗だった。,The government is providing aid to the victims of the disaster.,政府は災害の被災者に援助を提供している。,It was a disaster waiting to happen.,それはいつ起こってもおかしくない災難だった。,,0,0
both A and B,AとBの両方,熟語,I like both apples and oranges.,私はリンゴとオレンジの両方が好きだ。,Both he and his wife are doctors.,彼と彼の妻は両方とも医者だ。,The movie is both funny and sad.,その映画は面白くもあり悲しくもある。,You can have both the cake and the ice cream.,ケーキとアイスクリームの両方を食べてもいいですよ。,,0,0
myth,"神話,神話伝説",名詞,The book is a collection of Greek myths.,その本はギリシャ神話集だ。,It is a myth that all politicians are dishonest.,すべての政治家が不正直だというのは神話だ。,The story of the Loch Ness Monster is a popular myth.,ネス湖の怪物の話は人気のある神話だ。,She is a living myth in the world of fashion.,彼女はファッション界の生ける伝説だ。,,0,0
virus,"ウイルス,病原体",名詞,The flu is caused by a virus.,インフルエンザはウイルスによって引き起こされる。,He has a computer virus on his laptop.,彼のノートパソコンはコンピュータウイルスに感染している。,The virus is spreading rapidly.,ウイルスは急速に広がっている。,The company is developing a new vaccine to protect against the virus.,その会社はウイルスから身を守るための新しいワクチンを開発している。,,0,0
hunger,"飢え,空腹",名詞,Hunger is a major problem in many parts of the world.,飢餓は世界の多くの地域で大きな問題だ。,I have a hunger for knowledge.,私は知識欲が旺盛だ。,The children were crying with hunger.,子供たちは空腹で泣いていた。,The smell of food made my hunger worse.,食べ物の匂いで空腹がひどくなった。,,0,0
airline,"航空会社,航空業者",名詞,Which airline are you flying with?,どの航空会社を利用しますか？,The airline has a good safety record.,その航空会社は安全記録が良い。,I booked my flight with a budget airline.,私は格安航空会社でフライトを予約した。,The airline industry has been hit hard by the pandemic.,航空業界はパンデミックで大きな打撃を受けている。,,0,0
arms,"武器,兵器",名詞,The country has a large army and is well-equipped with modern arms.,その国は大規模な軍隊を持ち、近代的な武器で十分に装備されている。,The police found a cache of arms in the suspect's house.,警察は容疑者の家で武器の隠し場所を見つけた。,The two countries have agreed to a reduction in arms.,その二つの国は軍縮に合意した。,He was holding the baby in his arms.,彼は赤ちゃんを腕に抱いていた。,,0,0
overnight,"一晩中,夜通しで","副詞,形容詞",I stayed at her house overnight.,私は彼女の家に一晩泊まった。,The package will be delivered overnight.,荷物は翌日配達される。,He became a celebrity overnight.,彼は一夜にして有名人になった。,The situation changed overnight.,状況は一夜にして変わった。,,0,0
vending machine,自動販売機,熟語,I bought a drink from the vending machine.,私は自動販売機で飲み物を買った。,The vending machine is out of order.,自動販売機は故障中だ。,The vending machine sells snacks and drinks.,自動販売機では軽食や飲み物を販売している。,The company has installed a new vending machine in the office.,会社はオフィスに新しい自動販売機を設置した。,,0,0
Muslim,"イスラム教徒,ムスリム",名詞,He is a devout Muslim.,彼は敬虔なイスラム教徒だ。,The mosque is a place of worship for Muslims.,モスクはイスラム教徒の礼拝の場だ。,The Muslim community is celebrating Eid al-Fitr.,イスラム教徒のコミュニティはイード・アル＝フィトルを祝っている。,The book is about the history of the Muslim world.,その本はイスラム世界の歴史について書かれている。,,0,0
mostly,"主に,ほとんど",副詞,The audience was mostly young people.,聴衆は主に若者だった。,I am mostly happy with my new job.,私は新しい仕事にほとんど満足している。,The weather has been mostly sunny.,天気はほとんど晴れている。,The book is mostly about his childhood.,その本は主に彼の子供時代について書かれている。,,0,0
technical,"技術上の,専門的な",形容詞,The project requires a lot of technical expertise.,そのプロジェクトには多くの技術的な専門知識が必要だ。,The book is too technical for me to understand.,その本は私には専門的すぎて理解できない。,She is a technical writer for a software company.,彼女はソフトウェア会社のテクニカルライターだ。,The car has a technical problem.,車に技術的な問題がある。,,0,0
assault,"暴行,攻撃",名詞,He was arrested for assault.,彼は暴行で逮捕された。,The army launched an assault on the enemy's position.,軍隊は敵の陣地に攻撃を仕掛けた。,She was the victim of a sexual assault.,彼女は性的暴行の被害者だった。,The company is facing an assault from its competitors.,その会社は競合他社からの猛攻撃に直面している。,,0,0
bump into,"出くわす,衝突する",熟語,I bumped into an old friend at the supermarket.,スーパーで旧友にばったり会った。,He bumped into the table and knocked over a glass.,彼はテーブルにぶつかってグラスを倒した。,"I'm sorry, I didn't mean to bump into you.",ごめんなさい、ぶつかるつもりはありませんでした。,The two cars bumped into each other at the intersection.,交差点で2台の車が衝突した。,,0,0
emphasis,"強調,重視",名詞,The company places a strong emphasis on customer service.,その会社は顧客サービスを非常に重視している。,The emphasis of the course is on practical skills.,そのコースの重点は実践的なスキルにある。,She spoke with emphasis on the importance of education.,彼女は教育の重要性を強調して話した。,The government has put a new emphasis on environmental protection.,政府は環境保護に新たな重点を置いている。,,0,0
transition,"遷移,変遷",名詞,The transition from school to work can be difficult.,学校から職場への移行は難しい場合がある。,The company is in a period of transition.,その会社は過渡期にある。,The book describes the transition of the country from a dictatorship to a democracy.,その本はその国が独裁政権から民主主義へと移行する様子を描いている。,The transition to a new software system was not smooth.,新しいソフトウェアシステムへの移行はスムーズではなかった。,,0,0
regime,"政権,政府",名詞,The new regime has promised to bring about political reform.,新政権は政治改革をもたらすと約束した。,The country has been under a military regime for many years.,その国は何年もの間、軍事政権下にある。,The old regime was overthrown in a revolution.,旧政権は革命で打倒された。,She is on a strict diet and exercise regime.,彼女は厳しい食事と運動の計画を立てている。,,0,0
personality,"人格,性格",名詞,She has a very cheerful personality.,彼女はとても陽気な性格だ。,He has a strong personality and is not afraid to speak his mind.,彼は強い個性を持っており、自分の意見を言うことを恐れない。,The book is about the different personality types.,その本はさまざまな性格タイプについて書かれている。,The company is looking for someone with a dynamic personality.,その会社はダイナミックな個性を持つ人を探している。,,0,0
spoil,"台無しにする,損なう",動詞,Don't spoil your appetite by eating candy before dinner.,夕食前にキャンディーを食べて食欲をなくさないでください。,The rain spoiled our picnic.,雨で私たちのピクニックは台無しになった。,He is a spoiled child.,彼は甘やかされた子供だ。,The milk has spoiled.,牛乳が腐ってしまった。,,0,0
latest,"最新の,最先端の",形容詞,What is the latest news?,最新のニュースは何ですか？,She is always wearing the latest fashions.,彼女はいつも最新のファッションを身に着けている。,The company has just released its latest product.,その会社は最新製品を発売したばかりだ。,This is the latest version of the software.,これはソフトウェアの最新バージョンだ。,,0,0
raw,"生の,未加工の",形容詞,I like to eat raw fish.,私は生の魚を食べるのが好きだ。,The company imports raw materials from other countries.,その会社は他国から原材料を輸入している。,The data is still in its raw form.,データはまだ未加工の状態だ。,He has a raw talent for music.,彼には音楽の天賦の才がある。,,0,0
radical,"急進的な,抜本的な",形容詞,He has some radical ideas about how to solve the problem.,彼はその問題を解決するためのいくつかの急進的なアイデアを持っている。,The new government has promised to make radical changes to the country's economy.,新政府は国の経済に抜本的な変更を加えると約束した。,She is a radical feminist.,彼女は急進的なフェミニストだ。,The book is a radical critique of modern society.,その本は現代社会の急進的な批評だ。,,0,0
attempt,"試み,試練",名詞,He made an attempt to climb the mountain.,彼はその山に登ろうと試みた。,The police are investigating an attempted murder.,警察は殺人未遂事件を捜査している。,She failed in her first attempt to pass the exam.,彼女は最初の試験に合格しようとして失敗した。,The book is an attempt to explain the history of the universe.,その本は宇宙の歴史を説明しようとする試みだ。,,0,0
provision,"供給,支給",名詞,The company has made provision for bad debts.,その会社は貸倒引当金を設定した。,The contract includes a provision for a salary increase.,その契約には昇給の条項が含まれている。,The government is responsible for the provision of healthcare.,政府は医療の提供に責任がある。,The hotel provides a provision of towels and toiletries.,そのホテルではタオルと洗面用具が提供されている。,,0,0
insect,"昆虫,虫",名詞,I was bitten by an insect.,私は虫に刺された。,The garden is full of insects.,庭は虫でいっぱいだ。,She is afraid of insects.,彼女は虫が怖い。,The book is about the different types of insects.,その本はさまざまな種類の昆虫について書かれている。,,0,0
cure,"治療する,療養する",動詞,There is no cure for the common cold.,風邪の治療法はない。,The doctor cured him of his illness.,医者は彼の病気を治した。,The new drug is a potential cure for cancer.,新しい薬はがんの潜在的な治療法だ。,She is trying to cure her addiction to smoking.,彼女は喫煙中毒を治そうとしている。,,0,0
fascinate,"魅了する,魅惑する",動詞,I was fascinated by her stories.,私は彼女の話に魅了された。,The children were fascinated by the magician's tricks.,子供たちは手品師のトリックに魅了された。,She has a fascinating personality.,彼女は魅力的な個性を持っている。,The book is a fascinating account of her travels.,その本は彼女の旅行の魅力的な記録だ。,,0,0
estate,"財産,資産",名詞,He inherited a large estate from his parents.,彼は両親から広大な不動産を相続した。,The company has a real estate division.,その会社には不動産部門がある。,She is a real estate agent.,彼女は不動産業者だ。,The property is part of a large country estate.,その不動産は広大な田舎の不動産の一部だ。,,0,0
sweep,"掃く,払う",動詞,She swept the floor with a broom.,彼女はほうきで床を掃いた。,The new government swept to power in the election.,新しい政府は選挙で圧勝した。,A wave of panic swept through the crowd.,パニックの波が群衆を襲った。,He swept the crumbs off the table.,彼はテーブルからパンくずを払い落とした。,,0,0
item,"項目,要点",名詞,There are several items on the agenda for the meeting.,会議の議題にはいくつかの項目がある。,She bought a few items of clothing at the store.,彼女はその店でいくつかの衣料品を買った。,The most important item on the list is the milk.,リストの中で最も重要な項目は牛乳だ。,The news item was broadcast on television.,そのニュース項目はテレビで放送された。,,0,0
permanent,"永久の,永遠の",形容詞,The accident left him with a permanent scar.,その事故は彼に永久的な傷跡を残した。,She is looking for a permanent job.,彼女は正社員の仕事を探している。,The museum has a permanent collection of modern art.,その美術館には現代美術の常設コレクションがある。,The decision is not permanent and can be changed.,その決定は永久的なものではなく、変更することができる。,,0,0
rent,"家賃,賃料",名詞,I need to pay the rent by the end of the month.,月末までに家賃を支払う必要がある。,The rent for this apartment is very high.,このアパートの家賃は非常に高い。,She is looking for a room to rent.,彼女は借りる部屋を探している。,The company rents out cars and vans.,その会社は車とバンを貸し出している。,,0,0
adjust,"を調節する,調整する",動詞,I need to adjust the seat to my height.,私は座席を自分の身長に合わせて調整する必要がある。,She found it difficult to adjust to her new life in the city.,彼女は都会での新しい生活に適応するのが難しいと感じた。,The company has adjusted its prices to reflect the new tax.,その会社は新しい税金を反映して価格を調整した。,He adjusted his tie before the meeting.,彼は会議の前にネクタイを直した。,,0,0
courage,"勇気,勇猛",名詞,He showed great courage in the face of danger.,彼は危険に直面して大きな勇気を示した。,She had the courage to admit her mistake.,彼女は自分の間違いを認める勇気があった。,It takes courage to stand up for what you believe in.,自分が信じるもののために立ち上がるには勇気が必要だ。,He lost his courage and ran away.,彼は勇気を失って逃げ出した。,,0,0
armed,"武装した,装備した",形容詞,The police were armed with guns.,警察は銃で武装していた。,The country has a large armed forces.,その国は大規模な軍隊を持っている。,He was arrested for armed robbery.,彼は武装強盗で逮捕された。,The security guards are armed.,警備員は武装している。,,0,0
contemporary,"現在の,現代の",形容詞,The museum has a collection of contemporary art.,その美術館には現代美術のコレクションがある。,She is a contemporary of my mother.,彼女は私の母と同時代の人だ。,The book is a contemporary account of the war.,その本は戦争の現代的な記録だ。,The new building is a good example of contemporary architecture.,新しい建物は現代建築の良い例だ。,,0,0
primitive,"原始的な,先史的な",形容詞,The tribe has a very primitive way of life.,その部族は非常に原始的な生活様式を送っている。,The tools used by early humans were very primitive.,初期の人類が使用した道具は非常に原始的だった。,The book is about the primitive art of Africa.,その本はアフリカの原始美術について書かれている。,He has a primitive fear of the dark.,彼は暗闇に対して原始的な恐怖を抱いている。,,0,0
dialect,"方言,地域言語",名詞,He speaks a local dialect.,彼は地元の方言を話す。,The book is written in a Scottish dialect.,その本はスコットランドの方言で書かれている。,The two dialects are very similar.,その二つの方言は非常によく似ている。,She is studying the different dialects of the language.,彼女はその言語のさまざまな方言を研究している。,,0,0
